FlagshipSocialNetwork;IN_NumOfAccounts;Instagram.URL;Instagram.Followers;yes_no;IG_Total_Posts
;;http://www.instagram.com/lessisamor;5600;n;
;;http://www.instagram.com/itskelijean;9900;n;
;;http://www.instagram.com/smackdabessentials;8900;n;
;;http://www.instagram.com/liat.a;9200;y;
;;http://www.instagram.com/keemachang;5200;y;
;;http://www.instagram.com/seevanessacraft;9600;y;
;;http://www.instagram.com/lumieresdebaia;5800;n;
;;http://www.instagram.com/glynnaiden;6700;y;
;;http://www.instagram.com/sallybell26;7100;y;
;;http://www.instagram.com/kelsiejoymiller;7600;y;
;;http://www.instagram.com/jessiebrave;6400;y;
;;http://www.instagram.com/madisonrally;6800;y;
;;http://www.instagram.com/thelaurencrocker;5200;y;
;;http://www.instagram.com/aletha_;6000;y;
;;http://www.instagram.com/repslotkin;8700;n;
;;http://www.instagram.com/mollypate2;6100;y;
;;http://www.instagram.com/sawyer_overway;5800;y;
;;http://www.instagram.com/tina.michaela.23;6400;y;
;;http://www.instagram.com/lindsaytarpley5;5400;y;
;;http://www.instagram.com/beautymonsters;5900;n;
;;http://www.instagram.com/weatherlystrohstudio;7100;n;
;;http://www.instagram.com/robbiesimone;8700;y;
;;http://www.instagram.com/real_estate_chick;5500;y;
;;http://www.instagram.com/abbeylmoore;7400;y;
;;http://www.instagram.com/just.chelcea;6500;y;
;;http://www.instagram.com/brooklynlamb;5500;n;
;;http://www.instagram.com/landri_liftsalot;5500;y;
;;http://www.instagram.com/beejoyfulshop;7800;n;
;;http://www.instagram.com/chasedxpe;6800;y;
;;http://www.instagram.com/elizabethshealthylife;5400;y;
;;http://www.instagram.com/hairandmakeupbydivina;7100;y;
;;http://www.instagram.com/therobinlynnstyle;7600;y;
;;http://www.instagram.com/sarekaunique;6700;y;
;;http://www.instagram.com/ourgrayhairisbeautiful;6400;y;
;;http://www.instagram.com/melodieofthechains;6800;y;
;;http://www.instagram.com/thefinancialmogul;9800;n;
;;http://www.instagram.com/amyamybobamy;5000;y;
;;http://www.instagram.com/dawnsmith_art;8600;y;
;;http://www.instagram.com/theculinarynest;6000;n;
;;http://www.instagram.com/passiflora_kalamazoo;5500;n;
;;http://www.instagram.com/amyklandry_;8700;n;
;;http://www.instagram.com/jennywiththegoodeats;9400;y;
