date,followees,username,month,year
2022-12-01,806,rileyduckman,12,2022
2022-11-01,803,rileyduckman,11,2022
2022-10-01,800,rileyduckman,10,2022
2022-09-01,798,rileyduckman,9,2022
2022-08-01,816,rileyduckman,8,2022
2022-07-01,824,rileyduckman,7,2022
2022-06-01,817,rileyduckman,6,2022
2022-05-01,812,rileyduckman,5,2022
2022-04-01,809,rileyduckman,4,2022
2022-03-01,808,rileyduckman,3,2022
2022-02-01,803,rileyduckman,2,2022
2022-01-01,802,rileyduckman,1,2022
2021-12-01,799,rileyduckman,12,2021
2021-11-01,799,rileyduckman,11,2021
2021-10-01,800,rileyduckman,10,2021
2021-09-01,799,rileyduckman,9,2021
2021-08-01,800,rileyduckman,8,2021
2021-07-01,791,rileyduckman,7,2021
2021-06-01,817,rileyduckman,6,2021
2021-05-01,819,rileyduckman,5,2021
2021-04-01,816,rileyduckman,4,2021
2021-03-01,805,rileyduckman,3,2021
2021-02-01,804,rileyduckman,2,2021
2021-01-01,1390,rileyduckman,1,2021
2020-12-01,1368,rileyduckman,12,2020
2020-11-01,1349,rileyduckman,11,2020
2020-10-01,1344,rileyduckman,10,2020
2020-09-01,1334,rileyduckman,9,2020
2020-08-01,1326,rileyduckman,8,2020
2020-07-01,1434,rileyduckman,7,2020
2020-06-01,1684,rileyduckman,6,2020
2020-05-01,1644,rileyduckman,5,2020
2020-04-01,1627,rileyduckman,4,2020
2020-03-01,1602,rileyduckman,3,2020
2020-02-01,1607,rileyduckman,2,2020
2020-01-01,1610,rileyduckman,1,2020
2019-12-01,1615,rileyduckman,12,2019
2019-11-01,1602,rileyduckman,11,2019
2019-10-01,1579,rileyduckman,10,2019
2019-09-01,1568,rileyduckman,9,2019
2019-08-01,1509,rileyduckman,8,2019
2019-07-01,1546,rileyduckman,7,2019
2019-06-01,1529,rileyduckman,6,2019
2019-05-01,1565,rileyduckman,5,2019
2019-04-01,1535,rileyduckman,4,2019
2019-03-01,1493,rileyduckman,3,2019
2019-02-01,1466,rileyduckman,2,2019
2019-01-01,1406,rileyduckman,1,2019
2022-12-01,3642,shawnjohnson,12,2022
2022-11-01,3625,shawnjohnson,11,2022
2022-10-01,3597,shawnjohnson,10,2022
2022-09-01,3554,shawnjohnson,9,2022
2022-08-01,3527,shawnjohnson,8,2022
2022-07-01,3507,shawnjohnson,7,2022
2022-06-01,3481,shawnjohnson,6,2022
2022-05-01,3464,shawnjohnson,5,2022
2022-04-01,3432,shawnjohnson,4,2022
2022-03-01,3411,shawnjohnson,3,2022
2022-02-01,3370,shawnjohnson,2,2022
2022-01-01,3343,shawnjohnson,1,2022
2021-12-01,3311,shawnjohnson,12,2021
2021-11-01,3304,shawnjohnson,11,2021
2021-10-01,3271,shawnjohnson,10,2021
2021-09-01,3248,shawnjohnson,9,2021
2021-08-02,3223,shawnjohnson,8,2021
2021-07-01,3222,shawnjohnson,7,2021
2021-06-01,3170,shawnjohnson,6,2021
2021-05-01,3131,shawnjohnson,5,2021
2021-04-01,3102,shawnjohnson,4,2021
2021-03-01,3078,shawnjohnson,3,2021
2021-02-01,3064,shawnjohnson,2,2021
2021-01-01,3049,shawnjohnson,1,2021
2020-12-01,3042,shawnjohnson,12,2020
2020-11-01,2967,shawnjohnson,11,2020
2020-10-01,2935,shawnjohnson,10,2020
2020-09-01,2891,shawnjohnson,9,2020
2020-08-01,2870,shawnjohnson,8,2020
2020-07-01,2849,shawnjohnson,7,2020
2020-06-01,2813,shawnjohnson,6,2020
2020-05-01,2791,shawnjohnson,5,2020
2020-04-01,2769,shawnjohnson,4,2020
2020-03-01,2750,shawnjohnson,3,2020
2020-02-01,2706,shawnjohnson,2,2020
2020-01-01,2690,shawnjohnson,1,2020
2019-12-01,2663,shawnjohnson,12,2019
2019-11-01,2648,shawnjohnson,11,2019
2019-10-01,2683,shawnjohnson,10,2019
2019-09-01,2720,shawnjohnson,9,2019
2019-08-01,2717,shawnjohnson,8,2019
2019-07-01,2735,shawnjohnson,7,2019
2019-06-01,2768,shawnjohnson,6,2019
2019-05-01,2772,shawnjohnson,5,2019
2019-04-01,2785,shawnjohnson,4,2019
2019-03-01,2743,shawnjohnson,3,2019
2019-02-01,2718,shawnjohnson,2,2019
2019-01-01,2697,shawnjohnson,1,2019
2022-12-01,196,inagarten,12,2022
2022-11-01,222,inagarten,11,2022
