date,mediacount,username,month,year
2022-12-01,746,rileyduckman,12,2022
2022-11-01,739,rileyduckman,11,2022
2022-10-01,730,rileyduckman,10,2022
2022-09-01,726,rileyduckman,9,2022
2022-08-01,719,rileyduckman,8,2022
2022-07-01,711,rileyduckman,7,2022
2022-06-01,705,rileyduckman,6,2022
2022-05-01,698,rileyduckman,5,2022
2022-04-01,689,rileyduckman,4,2022
2022-03-01,683,rileyduckman,3,2022
2022-02-01,676,rileyduckman,2,2022
2022-01-01,666,rileyduckman,1,2022
2021-12-01,660,rileyduckman,12,2021
2021-11-01,654,rileyduckman,11,2021
2021-10-01,648,rileyduckman,10,2021
2021-09-01,640,rileyduckman,9,2021
2021-08-01,630,rileyduckman,8,2021
2021-07-01,621,rileyduckman,7,2021
2021-06-01,607,rileyduckman,6,2021
2021-05-01,600,rileyduckman,5,2021
2021-04-01,592,rileyduckman,4,2021
2021-03-01,586,rileyduckman,3,2021
2021-02-01,583,rileyduckman,2,2021
2021-01-01,573,rileyduckman,1,2021
2020-12-01,567,rileyduckman,12,2020
2020-11-01,561,rileyduckman,11,2020
2020-10-01,558,rileyduckman,10,2020
2020-09-01,549,rileyduckman,9,2020
2020-08-01,541,rileyduckman,8,2020
2020-07-01,536,rileyduckman,7,2020
2020-06-01,530,rileyduckman,6,2020
2020-05-01,522,rileyduckman,5,2020
2020-04-01,511,rileyduckman,4,2020
2020-03-01,507,rileyduckman,3,2020
2020-02-01,496,rileyduckman,2,2020
2020-01-01,486,rileyduckman,1,2020
2019-12-01,511,rileyduckman,12,2019
2019-11-01,501,rileyduckman,11,2019
2019-10-01,495,rileyduckman,10,2019
2019-09-01,488,rileyduckman,9,2019
2019-08-01,474,rileyduckman,8,2019
2019-07-01,457,rileyduckman,7,2019
2019-06-01,444,rileyduckman,6,2019
2019-05-01,433,rileyduckman,5,2019
2019-04-01,418,rileyduckman,4,2019
2019-03-01,413,rileyduckman,3,2019
2019-02-01,403,rileyduckman,2,2019
2019-01-01,394,rileyduckman,1,2019
2022-12-01,3427,shawnjohnson,12,2022
2022-11-01,3414,shawnjohnson,11,2022
2022-10-01,3393,shawnjohnson,10,2022
2022-09-01,3381,shawnjohnson,9,2022
2022-08-01,3373,shawnjohnson,8,2022
2022-07-01,3364,shawnjohnson,7,2022
2022-06-01,3349,shawnjohnson,6,2022
2022-05-01,3341,shawnjohnson,5,2022
2022-04-01,3326,shawnjohnson,4,2022
2022-03-01,3315,shawnjohnson,3,2022
2022-02-01,3303,shawnjohnson,2,2022
2022-01-01,3291,shawnjohnson,1,2022
2021-12-01,3261,shawnjohnson,12,2021
2021-11-01,3244,shawnjohnson,11,2021
2021-10-01,3229,shawnjohnson,10,2021
2021-09-01,3216,shawnjohnson,9,2021
2021-08-02,3206,shawnjohnson,8,2021
2021-07-01,3194,shawnjohnson,7,2021
2021-06-01,3177,shawnjohnson,6,2021
2021-05-01,3163,shawnjohnson,5,2021
2021-04-01,3149,shawnjohnson,4,2021
2021-03-01,3129,shawnjohnson,3,2021
2021-02-01,3122,shawnjohnson,2,2021
2021-01-01,3110,shawnjohnson,1,2021
2020-12-01,3095,shawnjohnson,12,2020
2020-11-01,3076,shawnjohnson,11,2020
2020-10-01,3057,shawnjohnson,10,2020
2020-09-01,3035,shawnjohnson,9,2020
2020-08-01,3018,shawnjohnson,8,2020
2020-07-01,3003,shawnjohnson,7,2020
2020-06-01,2988,shawnjohnson,6,2020
2020-05-01,2968,shawnjohnson,5,2020
2020-04-01,2954,shawnjohnson,4,2020
2020-03-01,2935,shawnjohnson,3,2020
2020-02-01,2923,shawnjohnson,2,2020
2020-01-01,2904,shawnjohnson,1,2020
2019-12-01,2877,shawnjohnson,12,2019
2019-11-01,2858,shawnjohnson,11,2019
2019-10-01,2842,shawnjohnson,10,2019
2019-09-01,2824,shawnjohnson,9,2019
2019-08-01,2803,shawnjohnson,8,2019
2019-07-01,2784,shawnjohnson,7,2019
2019-06-01,2766,shawnjohnson,6,2019
2019-05-01,2750,shawnjohnson,5,2019
2019-04-01,2735,shawnjohnson,4,2019
2019-03-01,2722,shawnjohnson,3,2019
2019-02-01,2705,shawnjohnson,2,2019
2019-01-01,2687,shawnjohnson,1,2019
2022-12-01,1071,inagarten,12,2022
2022-11-01,1059,inagarten,11,2022
2022-10-01,1047,inagarten,10,2022
2022-09-01,1040,inagarten,9,2022
2022-08-01,1028,inagarten,8,2022
2022-07-01,1018,inagarten,7,2022
2022-06-01,1012,inagarten,6,2022
2022-05-01,997,inagarten,5,2022
2022-04-01,987,inagarten,4,2022
2022-03-01,982,inagarten,3,2022
2022-02-01,976,inagarten,2,2022
2022-01-01,967,inagarten,1,2022
2021-12-01,963,inagarten,12,2021
2021-11-01,952,inagarten,11,2021
2021-10-01,946,inagarten,10,2021
2021-09-01,939,inagarten,9,2021
2021-08-02,933,inagarten,8,2021
2021-07-01,927,inagarten,7,2021
2021-06-01,920,inagarten,6,2021
2021-05-01,906,inagarten,5,2021
2021-04-01,897,inagarten,4,2021
2021-03-01,889,inagarten,3,2021
2021-02-01,883,inagarten,2,2021
2021-01-01,877,inagarten,1,2021
2020-12-01,868,inagarten,12,2020
2020-11-01,853,inagarten,11,2020
2020-10-01,837,inagarten,10,2020
2020-09-01,826,inagarten,9,2020
2020-08-01,816,inagarten,8,2020
2020-07-01,808,inagarten,7,2020
2020-06-01,807,inagarten,6,2020
2020-05-01,786,inagarten,5,2020
2020-04-01,762,inagarten,4,2020
2020-03-01,741,inagarten,3,2020
2020-02-01,732,inagarten,2,2020
2020-01-01,729,inagarten,1,2020
2019-12-01,721,inagarten,12,2019
2019-11-01,708,inagarten,11,2019
2019-10-01,696,inagarten,10,2019
2019-09-01,685,inagarten,9,2019
2019-08-01,671,inagarten,8,2019
2019-07-01,659,inagarten,7,2019
2019-06-01,649,inagarten,6,2019
2019-05-01,631,inagarten,5,2019
2019-04-01,629,inagarten,4,2019
2019-03-01,622,inagarten,3,2019
2019-02-01,612,inagarten,2,2019
2019-01-01,606,inagarten,1,2019
2022-12-01,753,ballerinafarm,12,2022
2022-11-01,746,ballerinafarm,11,2022
2022-10-01,741,ballerinafarm,10,2022
2022-09-01,730,ballerinafarm,9,2022
2022-08-01,721,ballerinafarm,8,2022
2022-07-01,713,ballerinafarm,7,2022
2022-06-01,705,ballerinafarm,6,2022
2022-05-01,699,ballerinafarm,5,2022
2022-04-01,689,ballerinafarm,4,2022
2022-03-01,677,ballerinafarm,3,2022
2022-02-01,669,ballerinafarm,2,2022
2022-01-01,665,ballerinafarm,1,2022
2021-12-01,662,ballerinafarm,12,2021
2021-11-01,655,ballerinafarm,11,2021
2021-10-01,649,ballerinafarm,10,2021
2021-09-01,640,ballerinafarm,9,2021
2021-08-03,630,ballerinafarm,8,2021
2021-07-01,625,ballerinafarm,7,2021
2021-06-01,622,ballerinafarm,6,2021
2021-05-01,617,ballerinafarm,5,2021
2021-04-01,612,ballerinafarm,4,2021
2021-03-01,606,ballerinafarm,3,2021
2021-02-01,599,ballerinafarm,2,2021
2021-01-01,596,ballerinafarm,1,2021
2020-12-01,595,ballerinafarm,12,2020
2020-11-01,590,ballerinafarm,11,2020
2020-10-01,584,ballerinafarm,10,2020
2020-09-01,579,ballerinafarm,9,2020
2020-08-01,572,ballerinafarm,8,2020
2020-07-01,567,ballerinafarm,7,2020
2020-06-01,564,ballerinafarm,6,2020
2020-05-01,557,ballerinafarm,5,2020
2020-04-01,554,ballerinafarm,4,2020
2020-03-01,548,ballerinafarm,3,2020
2020-02-01,542,ballerinafarm,2,2020
2020-01-01,535,ballerinafarm,1,2020
2019-12-01,528,ballerinafarm,12,2019
2019-11-01,519,ballerinafarm,11,2019
2019-10-01,512,ballerinafarm,10,2019
2019-09-01,496,ballerinafarm,9,2019
2019-08-01,480,ballerinafarm,8,2019
2019-07-01,470,ballerinafarm,7,2019
2019-06-01,457,ballerinafarm,6,2019
2019-05-01,442,ballerinafarm,5,2019
2019-04-01,428,ballerinafarm,4,2019
2019-03-01,415,ballerinafarm,3,2019
2019-02-01,405,ballerinafarm,2,2019
2019-01-01,396,ballerinafarm,1,2019
2022-12-01,3554,shannonsharpe84,12,2022
2022-11-01,3507,shannonsharpe84,11,2022
2022-10-01,3466,shannonsharpe84,10,2022
2022-09-01,3458,shannonsharpe84,9,2022
2022-08-01,3461,shannonsharpe84,8,2022
2022-07-01,3442,shannonsharpe84,7,2022
2022-06-01,3429,shannonsharpe84,6,2022
2022-05-01,3412,shannonsharpe84,5,2022
2022-04-01,3382,shannonsharpe84,4,2022
2022-03-01,3347,shannonsharpe84,3,2022
2022-02-01,3325,shannonsharpe84,2,2022
2022-01-01,3296,shannonsharpe84,1,2022
2021-12-01,3272,shannonsharpe84,12,2021
2021-11-01,3245,shannonsharpe84,11,2021
2021-10-01,3220,shannonsharpe84,10,2021
2021-09-01,3155,shannonsharpe84,9,2021
2021-08-02,3100,shannonsharpe84,8,2021
2021-07-01,3062,shannonsharpe84,7,2021
2021-06-01,3017,shannonsharpe84,6,2021
2021-05-01,2980,shannonsharpe84,5,2021
2021-04-01,2939,shannonsharpe84,4,2021
2021-03-01,2879,shannonsharpe84,3,2021
2021-02-01,2822,shannonsharpe84,2,2021
2021-01-01,2741,shannonsharpe84,1,2021
2020-12-01,2672,shannonsharpe84,12,2020
2020-11-01,2597,shannonsharpe84,11,2020
2020-10-01,2537,shannonsharpe84,10,2020
2020-09-01,2467,shannonsharpe84,9,2020
2020-08-01,2408,shannonsharpe84,8,2020
2020-07-01,2354,shannonsharpe84,7,2020
2020-06-01,2283,shannonsharpe84,6,2020
2020-05-01,2216,shannonsharpe84,5,2020
2020-04-01,2149,shannonsharpe84,4,2020
2020-03-01,2084,shannonsharpe84,3,2020
2020-02-01,2021,shannonsharpe84,2,2020
2020-01-01,1933,shannonsharpe84,1,2020
2019-12-01,1863,shannonsharpe84,12,2019
2019-11-01,1789,shannonsharpe84,11,2019
2019-10-01,1707,shannonsharpe84,10,2019
2019-09-01,1618,shannonsharpe84,9,2019
2019-08-01,1562,shannonsharpe84,8,2019
2019-07-01,1501,shannonsharpe84,7,2019
2019-06-01,1439,shannonsharpe84,6,2019
2019-05-01,1358,shannonsharpe84,5,2019
2019-04-01,1293,shannonsharpe84,4,2019
2019-03-01,1231,shannonsharpe84,3,2019
2019-02-01,1176,shannonsharpe84,2,2019
2019-01-01,1087,shannonsharpe84,1,2019
2022-12-01,2467,brittanyaldean,12,2022
