FlagshipSocialNetwork,IN_NumOfAccounts,"Instagram URL","Instagram Followers",IG_Total_Posts
instagram,1,https://instagram.com/justinbieber,276660962,7407
instagram,1,https://instagram.com/theestallion,29950422,134
tiktok,1,https://instagram.com/larray,6509092,136
tiktok,1,https://instagram.com/swagboyq,1562191,28
tiktok,1,https://instagram.com/karljacobs,4795082,118
instagram,1,https://instagram.com/tombrady,13691139,796
youtube,1,https://instagram.com/coryxkenshin,2801737,292
instagram,1,https://instagram.com/polo.capalot,10609443,49
twitch,1,https://instagram.com/adinross,5339467,16
facebook,1,https://instagram.com/officialbenshapiro,3598573,447
instagram,1,https://instagram.com/obj,16938068,207
instagram,1,https://instagram.com/latto777,9903405,1628
tiktok,1,https://instagram.com/siennamaegomez,1533968,556
youtube,2,https://instagram.com/nelkboys,4464402,533
tiktok,1,https://instagram.com/piersonwodzynski,2820968,884
tiktok,1,https://instagram.com/trevorwallace,2661424,738
instagram,1,https://instagram.com/ddg,5782376,158
youtube,1,https://instagram.com/dashiexp,1118208,223
instagram,1,https://instagram.com/lukecombs,4827982,1319
youtube,1,https://instagram.com/dannyduncan69,3639095,340
tiktok,1,https://instagram.com/brittikitty,1942295,1449
tiktok,1,https://instagram.com/iamcoreyb,1605946,2398
tiktok,1,https://instagram.com/tabithaswatosh,1620597,225
tiktok,1,https://instagram.com/kaicenat,2990624,16
instagram,1,https://instagram.com/rodwave,6285319,48
tiktok,1,https://instagram.com/mikaylajmakeup,2504282,722
instagram,1,https://instagram.com/ab,13223611,38
tiktok,1,https://instagram.com/annashumatee,2090990,95
youtube,1,https://instagram.com/realpopsmoke,3601892,48
youtube,1,https://instagram.com/flight23white_,2410751,102
facebook,1,https://instagram.com/luisnani,2333208,1334
tiktok,1,https://instagram.com/suavexavier_,1057245,500
instagram,1,https://instagram.com/dearra,6425045,460
instagram,1,https://instagram.com/aboogievsartist,6615417,123
tiktok,1,https://instagram.com/tonyyounmd,1009220,3382
facebook,1,https://instagram.com/georgestrait,1618330,884
