FlagshipSocialNetwork,IN_NumOfAccounts,"Instagram URL","Instagram Followers",IG_Total_Posts
youtube,1,https://instagram.com/jakefellman,145647,453
tiktok,1,https://instagram.com/spicyycam_,210816,132
tiktok,1,https://instagram.com/mndiaye_97,319748,243
tiktok,1,https://instagram.com/mckenzibrooke,454698,884
tiktok,1,https://instagram.com/its.tmariee,464425,196
tiktok,1,https://instagram.com/liltjayfeed,60880,1669
tiktok,1,https://instagram.com/anxietycouple32,187696,686
facebook,1,https://instagram.com/kreayshawn,360614,92
tiktok,1,https://instagram.com/evcnoble,407422,126
tiktok,1,https://instagram.com/valerielepelch,298462,461
tiktok,1,https://instagram.com/ash.e.e,290303,577
tiktok,1,https://instagram.com/tommyunold,362995,88
tiktok,1,https://instagram.com/jack.doherty,456415,771
tiktok,1,https://instagram.com/lourdasprec,441090,241
tiktok,1,https://instagram.com/jackhneel,133116,26
youtube,1,https://instagram.com/evangelinedemuro,198038,612
tiktok,1,https://instagram.com/tommywinkler,246768,1353
tiktok,2,https://instagram.com/carterkench,255759,422
tiktok,2,https://instagram.com/trailertrashtammyy,613923,1188
tiktok,1,https://instagram.com/howieazy,182049,1551
youtube,1,https://instagram.com/sp33dyinbed,80587,27
youtube,1,https://instagram.com/kevinedwardsjr,207284,265
tiktok,1,https://instagram.com/dankscole,242185,182
tiktok,1,https://instagram.com/haueterfamily,185080,1487
tiktok,2,https://instagram.com/kinigra,278990,416
tiktok,1,https://instagram.com/yeahitstyg,439978,1223
tiktok,1,https://instagram.com/richblackguy,251525,158
instagram,2,https://instagram.com/adriennebailon,5780868,3795
tiktok,1,https://instagram.com/c.b.3,289696,436
tiktok,1,https://instagram.com/jessvalortiz,388241,1278
tiktok,1,https://instagram.com/daydrianharding_,287533,11
tiktok,1,https://instagram.com/danny.phantom.exe,425796,160
tiktok,1,https://instagram.com/herodw_,139019,231
tiktok,1,https://instagram.com/keyondre.forreal,130468,185
youtube,1,https://instagram.com/azerrz.4rif,190947,46
tiktok,1,https://instagram.com/hassankhadair,256933,829
tiktok,1,https://instagram.com/aliyah.marie.d,303408,37
tiktok,1,https://instagram.com/sylvester_danielle_,198774,599
tiktok,1,https://instagram.com/saraecheagaray,291068,213
tiktok,1,https://instagram.com/djhunts,155283,1357
tiktok,1,https://instagram.com/sora.simmons,229952,330
tiktok,1,https://instagram.com/itsdavantewilson,194176,146
tiktok,1,https://instagram.com/korylittle_,66217,728
youtube,1,https://instagram.com/onlyluna,200931,27
tiktok,1,https://instagram.com/nike_finesse,175220,559
tiktok,1,https://instagram.com/samanthayve,122232,14
tiktok,1,https://instagram.com/annnexmp,176491,166
tiktok,1,https://instagram.com/calesaurage,491496,200
tiktok,2,https://instagram.com/creationsross,760550,115
youtube,1,https://instagram.com/irelandboysproductions,246216,211
tiktok,1,https://instagram.com/laroobenz,145155,32
tiktok,1,https://instagram.com/valeriya.eros,65368,458
tiktok,1,https://instagram.com/alexgriswold,226115,386
tiktok,1,https://instagram.com/nathan_fri,472284,595
tiktok,1,https://instagram.com/aceof_spadess,234011,454
tiktok,2,https://instagram.com/gxlden_a.team,342556,391
tiktok,1,https://instagram.com/nanajoe19,228069,607
tiktok,1,https://instagram.com/miyaeva,145378,158
youtube,1,https://instagram.com/donutoperator,495656,714
tiktok,1,https://instagram.com/mrs.woolleyin5th,108080,838
tiktok,1,https://instagram.com/scarlet_may.1,199090,128
tiktok,2,https://instagram.com/ipautorres,688435,411
tiktok,1,https://instagram.com/duncanyounot,474514,254
tiktok,1,https://instagram.com/zoifish,425455,193
tiktok,1,https://instagram.com/holdendavenport7,92217,1837
tiktok,1,https://instagram.com/therealtati,259385,346
tiktok,1,https://instagram.com/joerauth,460088,450
youtube,1,https://instagram.com/chrissmoove,276941,202
tiktok,1,https://instagram.com/salah.brooks,293542,423
youtube,1,https://instagram.com/sergiofromudy,158829,41
tiktok,1,https://instagram.com/bryanthediamond,497759,1552
youtube,2,https://instagram.com/berleezy,927333,103
tiktok,1,https://instagram.com/champagnemikee,172062,17
youtube,1,https://instagram.com/blastphamoushd,154753,405
tiktok,1,https://instagram.com/marquaythegoat,138699,427
twitter,1,https://instagram.com/billoreilly,259238,457
tiktok,1,https://instagram.com/bellaretamosa,429441,209
tiktok,1,https://instagram.com/cassidy.condie,242969,143
instagram,1,https://instagram.com/heysharlamay,67247,274
tiktok,1,https://instagram.com/nnatalieaguilar,353414,245
tiktok,1,https://instagram.com/nuhchez,84271,48
tiktok,1,https://instagram.com/literallylizzi,99814,162
tiktok,2,https://instagram.com/one_eared_uno,141252,477
youtube,1,https://instagram.com/gpstephan,468301,104
tiktok,1,https://instagram.com/theblacktrunks,79144,24
facebook,1,https://instagram.com/sublime,446747,2288
tiktok,1,https://instagram.com/thebracesguy,329312,2380
tiktok,2,https://instagram.com/ezee,1858695,645
tiktok,1,https://instagram.com/prettyboiballo__,393252,375
tiktok,2,https://instagram.com/myleyj,118323,1016
tiktok,1,https://instagram.com/dez2fly,202933,739
tiktok,1,https://instagram.com/meishmoe,247770,11
tiktok,1,https://instagram.com/montana.ryder,219606,259
tiktok,1,https://instagram.com/liv.pearsall,262218,647
tiktok,1,https://instagram.com/campuzanoabelardo,303482,598
tiktok,1,https://instagram.com/salemilese,342458,316
tiktok,1,https://instagram.com/taraswrld,330564,699
tiktok,1,https://instagram.com/carlos_eduardo_espina,285812,1038
youtube,1,https://instagram.com/charliesbellamommy,104022,2059
