FlagshipSocialNetwork,IN_NumOfAccounts,"Instagram URL","Instagram Followers",IG_Total_Posts
tiktok,2,https://instagram.com/carterkench,255759,422
tiktok,2,https://instagram.com/kinigra,278990,416
youtube,1,https://instagram.com/vuxxvuxx,23244,6
tiktok,2,https://instagram.com/gxlden_a.team,342556,391
tiktok,1,https://instagram.com/katiehuntleyy,37867,43
facebook,3,https://instagram.com/normanfreeman,1123477,800
tiktok,1,https://instagram.com/jonyyrubio,27292,8
youtube,1,https://instagram.com/thereallispyjimmy,33850,531
youtube,2,https://instagram.com/supereeego,561893,505
tiktok,1,https://instagram.com/rauld33,17977,1890
tiktok,2,https://instagram.com/myleyj,118323,1016
facebook,2,https://instagram.com/flacpnlvr,44859,10001
tiktok,2,https://instagram.com/alxjames,766829,974
tiktok,1,https://instagram.com/krysmay_official,26218,79
tiktok,2,https://instagram.com/143joannagc,233309,636
facebook,1,https://instagram.com/triciaandkam,41866,120
youtube,1,https://instagram.com/reallyzealous,28885,81
tiktok,1,https://instagram.com/sallyisdog,24183,67
instagram,2,https://instagram.com/tylerjcameron,2254170,476
tiktok,1,https://instagram.com/iron.tazz,16543,152
pinterest,2,https://instagram.com/inspiredbycharm,118752,5154
tiktok,1,https://instagram.com/realkylethorn,45038,110
tiktok,1,https://instagram.com/lizzymwong,49283,244
tiktok,1,https://instagram.com/peterkang0,15107,324
tiktok,2,https://instagram.com/trevor_wagner_,306296,128
tiktok,1,https://instagram.com/kylescheele,36187,855
tiktok,1,https://instagram.com/maddikoch,33725,236
tiktok,1,https://instagram.com/jc.dombrowski,48021,1428
tiktok,1,https://instagram.com/laatrease,26037,19
youtube,3,https://instagram.com/kellimapleyt,62156,1239
tiktok,2,https://instagram.com/augustapricevarga,14269,89
tiktok,1,https://instagram.com/ivansurbabano,42785,46
tiktok,1,https://instagram.com/makenziemarshall,12381,449
tiktok,1,https://instagram.com/alexgalorneau,29506,86
tiktok,2,https://instagram.com/andrea.posnerrr,114829,74
tiktok,1,https://instagram.com/kai.robinsonn,28351,7
tiktok,1,https://instagram.com/_stevenvu_,25384,36
tiktok,1,https://instagram.com/ayannasabrina_,14124,1
tiktok,1,https://instagram.com/drewpolenske,18303,42
tiktok,1,https://instagram.com/kal_smith17,13194,113
tiktok,1,https://instagram.com/m.arissa,40310,126
tiktok,1,https://instagram.com/dolly_broadway,31152,137
tiktok,2,https://instagram.com/nottheworstmom,243274,2597
tiktok,1,https://instagram.com/eric_gutowski,33667,205
tiktok,1,https://instagram.com/im.myat,25395,6
tiktok,1,https://instagram.com/bretthaman,16389,197
tiktok,1,https://instagram.com/nylo.44,22051,646
tiktok,2,https://instagram.com/shileenoelle_,25906,207
tiktok,1,https://instagram.com/micawavetv,24701,221
tiktok,1,https://instagram.com/elighwitch,18252,8
tiktok,1,https://instagram.com/itsjonathanreed,15707,5
tiktok,1,https://instagram.com/saitkenn24,14913,134
tiktok,1,https://instagram.com/ben_reid_,17994,34
facebook,1,https://instagram.com/hollyfisherhiggins,11400,796
