Username;followers_old;size_old;found;is_private;followers_new;size_new;gender
famousanita;2367;nano;TRUE;FALSE;12978;mikro;f
influencerscreate;1172;nano;TRUE;FALSE;1171;nano;m
hannahanderson___;4520;nano;TRUE;FALSE;4490;nano;f
yourbestiebecky;4287;nano;TRUE;FALSE;4268;nano;f
beautybyangelicaa;9659;nano;TRUE;FALSE;9645;nano;f
jezzi.b;9617;nano;TRUE;FALSE;9600;nano;f
chantelmaes;8498;nano;FALSE;NA;NA;NA;
liat.a;9200;nano;TRUE;FALSE;9163;nano;f
seevanessacraft;9600;nano;TRUE;FALSE;9684;nano;f
robbiesimone;8700;nano;TRUE;FALSE;8689;nano;f
dawnsmith_art;8600;nano;TRUE;FALSE;8695;nano;f
jennywiththegoodeats;9400;nano;TRUE;FALSE;9333;nano;f
yesidonails.thenorthsidebarbie;9400;nano;TRUE;FALSE;9581;nano;f
katrinastepanianbennett;8300;nano;TRUE;FALSE;7992;nano;f
sydnijfit;8300;nano;TRUE;FALSE;8769;nano;f
elmafit_ish;8600;nano;TRUE;FALSE;9124;nano;f
joetattcruz;8800;nano;TRUE;FALSE;14655;mikro;m
angelawolffashion;8400;nano;TRUE;FALSE;8687;nano;f
andrepelzer_;8200;nano;TRUE;FALSE;9007;nano;m
_universe_of_brunette;9300;nano;TRUE;FALSE;9336;nano;f
groverellisor;9300;nano;TRUE;FALSE;9158;nano;m
mylifeaslilyj;8500;nano;TRUE;FALSE;4504;nano;f
joshua.aaron369719;8400;nano;TRUE;FALSE;9456;nano;m
thebenkaplan;9400;nano;TRUE;FALSE;9307;nano;m
samuelmasonpaul;9200;nano;TRUE;FALSE;8929;nano;m
the_nourishingproject;5500;nano;TRUE;FALSE;5469;nano;f
fitnessfoodiehealthy;6000;nano;TRUE;FALSE;5907;nano;f
kellysweetphoto;6100;nano;TRUE;FALSE;6347;nano;f
thedalialoc;5400;nano;TRUE;FALSE;5333;nano;f
prenatalfarmacist;5400;nano;TRUE;FALSE;9476;nano;f
amyamybobamy;5000;nano;TRUE;FALSE;5057;nano;f
joealmani;5300;nano;TRUE;FALSE;5273;nano;m
real_estate_chick;5500;nano;TRUE;FALSE;5785;nano;f
cinedirector;5200;nano;TRUE;FALSE;5571;nano;m
lindsaytarpley5;5400;nano;TRUE;FALSE;5901;nano;f
elizabethshealthylife;5400;nano;TRUE;FALSE;5479;nano;f
jbatgirlbattle;6000;nano;TRUE;FALSE;6828;nano;f
megancrawshaw;5600;nano;TRUE;FALSE;5578;nano;f
simplylauriephotography;5300;nano;TRUE;FALSE;5410;nano;f
jhseidman;5500;nano;TRUE;FALSE;5521;nano;m
astarbydesign;5200;nano;TRUE;FALSE;5576;nano;f
peacewellnessandessentialoils;5700;nano;TRUE;FALSE;5613;nano;f
sheknowssports_;5000;nano;TRUE;FALSE;5917;nano;f
jennyrisher;5400;nano;TRUE;FALSE;5698;nano;f
roobensoncredit;5200;nano;TRUE;FALSE;5161;nano;m
keemachang;5200;nano;TRUE;FALSE;5072;nano;f
jonrika_norwood_insuranceboss;5900;nano;TRUE;FALSE;6230;nano;f
majormindz;6200;nano;TRUE;FALSE;6181;nano;m
caseypalmer;5500;nano;TRUE;FALSE;5451;nano;m
nicolenagel__;6300;nano;TRUE;FALSE;5765;nano;f
mollypate2;6100;nano;TRUE;FALSE;6113;nano;f
landri_liftsalot;5500;nano;TRUE;FALSE;6890;nano;f
marinamonee;6300;nano;TRUE;FALSE;6514;nano;f
djnish07;6100;nano;TRUE;FALSE;6549;nano;m
dr_milhizer;6300;nano;TRUE;FALSE;8058;nano;f
ashnicolelit;5100;nano;TRUE;FALSE;5088;nano;f
ms_missy_miss;6200;nano;TRUE;FALSE;6104;nano;f
thelaurencrocker;5200;nano;TRUE;FALSE;5324;nano;f
laurenkostercreative;5900;nano;TRUE;FALSE;6000;nano;f
teresakovalak;5800;nano;TRUE;FALSE;6150;nano;f
