Username,followers_old,size_old,found,UserID,is_private,mediacount,followers_new,followees,external_url,is_business_account,business_category_name,biography,full_name,is_verified,profile_pic_url,size_new
famousanita,2367,nano,TRUE,53242451220,FALSE,41,12978,2621,None,FALSE,None,NA,Hunter the Hairstylist•New Account,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/315881841_879271890104007_2376140555655891234_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=103&_nc_ohc=e6zJZKHl3cIAX8DDafB&edm=AKralEIBAAAA&ccb=7-5&oh=00_AfBO1JdqAUd15SSrE2Zrt75ww3uha57RWjGh097Dkh35yA&oe=640F02D6&_nc_sid=5e3072,mikro
influencerscreate,1172,nano,TRUE,12997742,FALSE,64,1171,1055,https://youtu.be/7yZVvBjBppI,TRUE,None,Creative Design / Plants 🌱\n@influencedaesthetic ™️ @ayoplantco,B O O K E R,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/291949417_319038643662996_1114665055552340732_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=vCnZX9hgOIMAX_rvVpu&edm=AKralEIBAAAA&ccb=7-5&oh=00_AfAzJ2rrUF746qjpyfnJkobxfOw_1330Pw8eNnW-xFYiOg&oe=640F7266&_nc_sid=5e3072,nano
hannahanderson___,4520,nano,TRUE,7013968,FALSE,221,4490,977,https://youtu.be/Q4zPB1fLULc,TRUE,None,Baylor Alumna\nHosea 2:23 | Proclaimer of God’s goodness,Hannah Anderson (Gosser),FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/271162310_143208401409101_3121009306241795115_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=105&_nc_ohc=ov3PMbUelJEAX8YNEO3&edm=AKralEIBAAAA&ccb=7-5&oh=00_AfDwY7dVA2iEpn3QAfnT8B3s235-CmPRHv4nIN5p6yCHUw&oe=640F7D52&_nc_sid=5e3072,nano
yourbestiebecky,4287,nano,TRUE,14976890217,FALSE,682,4268,829,None,TRUE,None,"Product breakdowns + skincare insights🕵️‍♂️\n🔪Brutally honest, always.",Becky Da Silva,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/333288820_3649558948605021_7399936287487488700_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=aw8h103kvHwAX8anDo2&edm=AKralEIBAAAA&ccb=7-5&oh=00_AfCQrZfZDNrHGAoPT7gNwBL77AbgnJakD9AFl650V128qg&oe=640F01A5&_nc_sid=5e3072,nano
beautybyangelicaa,9659,nano,TRUE,1992201443,FALSE,445,9645,6092,https://stan.store/Angelicapinto,TRUE,None,All things beauty & fashion\nMUA |SI |NYC\nDM for appointments\nBusiness/ PR / Collab: email,ANGELICA PINTO💄,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/50855073_301322330581024_964195990171025408_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=nBz4i9Fvb80AX98j0iN&edm=AKralEIBAAAA&ccb=7-5&oh=00_AfAkKL0RsHDFHyIcoguNdYodIpQkA4bSjo2VFuiY_DYKcQ&oe=640EAC18&_nc_sid=5e3072,nano
jezzi.b,9617,nano,TRUE,179829891,FALSE,161,9600,430,http://clasyrebel.net/,FALSE,None,"📍Cali - RD 🇩🇴\nEclectic, Eccentric, Vintage Expensive. \n@CLASSY.REBEL \n@VINTAGENAILZ\n@FLYGHT_",JESSI B ⚜️,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/267129638_1130070311154792_8473502572823598407_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=YbzWHlwtBlAAX-p8XZp&edm=AKralEIBAAAA&ccb=7-5&oh=00_AfApe-Fg9IRLnEKsXFpUgAM_7jdWQTT_4zcHU1EBZ8Stdw&oe=640FBC72&_nc_sid=5e3072,nano
chantelmaes,8498,nano,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
liat.a,9200,nano,TRUE,1566525442,FALSE,1422,9163,1917,http://www.liataharoni.com/,FALSE,None,"Weddings + steamy + super 8 film\nUp next: Costa Rica, Tulum & Vancouver 🏝\ninfo@liataharoni.com","Toronto Photographer, Liat",FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/15035657_165636543902782_7939130335214698496_a.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=110&_nc_ohc=01_w9Z_XxjkAX8qX6SB&edm=AKralEIBAAAA&ccb=7-5&oh=00_AfBwXkUmUaRRVKCyUcIudDyJdj755Euh5AAACdfnJxspjQ&oe=640ED4F6&_nc_sid=5e3072,nano
seevanessacraft,9600,nano,TRUE,2664708,FALSE,3088,9684,3647,http://www.seevanessacraft.com/,TRUE,None,"See Vanessa Craft a Life Well Lived | Author & Blogger | Crafts, Recipes, Parties, Home, Travel | Phoenix, AZ 🌵 seevanessacraft@gmail.com",seevanessacraft,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/11363952_947930488603069_157604816_a.jpg?_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=101&_nc_ohc=MUDUO2poVzIAX9oZ5zq&edm=AKralEIBAAAA&ccb=7-5&oh=00_AfA3fRw_JnzOLzM6DVH0liWFqIIhKlA6cHPdDQimgdUbfw&oe=640E953D&_nc_sid=5e3072,nano
robbiesimone,8700,nano,TRUE,188739120,FALSE,2079,8689,2959,http://www.starstatusbeautybar.com/,TRUE,None,LICENSED MASTER COSMETOLOGIST 💇🏽‍♀️                                CEO @StarStatusBeautyBar.. Aveda Grad🎓 BOOK THRU SITE OR TEXT NO DMS PLEASE!!,ROBBIESIMONE,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/209636239_401154011257430_1777530548838105118_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=102&_nc_ohc=5h_k66Lom2wAX86PBdM&edm=AKralEIBAAAA&ccb=7-5&oh=00_AfCLW84HVYqHMyAiQ5Ds0aWl3GikdNMHjIAGBB47KAkt_A&oe=640E6452&_nc_sid=5e3072,nano
